id,conviction_type,core_referral,exp_release_date,onboard_date,general_risk,violent_risk,sexual_risk,needs_screen,onboard_year,qualifies_need,override,referral_decision,add_referral,start_date,completion_status,end_date
5516,IGV,Kyrios,19/07/2012,04/08/2010,38,39,54,2,NA,Yes,No,Allocated,Doro V,28/02/2011,Completed,19/11/2011
28457,LGA,Kyrios,25/09/2013,11/10/2010,42,38,15,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
9565,SVC,Kyrios,27/04/2019,12/05/2016,34,20,33,2,NA,Yes,No,Not allocated,NA,NA,NA,NA
26306,LGA,Kyrios,18/12/2008,03/01/2007,51,30,27,1,NA,Yes,No,Allocated,NA,15/01/2007,Did not complete,NA
8612,LGA,Kyrios,14/06/2010,29/06/2008,25,32,5,0,NA,No,No,NA,NA,NA,NA,NA
45576,SVC,Kyrios,28/02/2008,15/03/2005,4,3,43,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
26,IGV,Kyrios,22/03/2019,06/04/2017,22,36,6,0,NA,No,No,NA,NA,NA,NA,NA
13388,SVA,Kyrios,04/12/2019,19/12/2017,26,20,69,2,NA,Yes,No,Not allocated,NA,NA,NA,NA
7787,LGA,Kyrios,03/03/2013,19/03/2011,32,14,17,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
2112,IGV,Kyrios,20/08/2017,05/09/2015,55,55,40,3,NA,Yes,No,Not allocated,NA,NA,NA,NA
46538,IGV,Kyrios,24/03/2015,08/04/2013,62,48,15,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
7515,IGV,Kyrios,05/01/2019,20/01/2017,11,26,34,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
37867,ATH,Kyrios,30/06/2017,16/07/2015,18,42,10,1,NA,Yes,No,Allocated,NA,05/04/2016,Completed,12/10/2016
19543,LGA,Kyrios,08/04/2018,24/04/2015,20,20,62,1,NA,Yes,No,Allocated,NA,17/01/2017,Completed,01/08/2017
1648,IGV,Kyrios,28/12/2015,12/01/2014,33,30,44,0,NA,No,No,NA,NA,NA,NA,NA
25657,LGA,Kyrios,03/07/2019,18/07/2016,47,33,9,2,NA,Yes,No,Not allocated,NA,NA,NA,NA
38438,IGV,Kyrios,28/01/2015,12/02/2013,65,63,27,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
33789,EXT,Kyrios,09/08/2007,24/08/2005,4,20,40,2,NA,Yes,No,Not allocated,NA,NA,NA,NA
31764,LGA,Kyrios,21/03/2011,05/04/2009,47,40,25,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
4930,SVT,Kyrios,19/02/2008,06/03/2006,56,46,68,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
39833,LGA,Kyrios,04/04/2018,19/04/2016,22,35,52,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
3192,LGA,Kyrios,05/12/2009,21/12/2007,68,61,26,3,NA,Yes,No,Not allocated,NA,NA,NA,NA
41256,LGA,Kyrios,11/04/2013,27/04/2010,42,44,19,0,NA,No,No,NA,NA,NA,NA,NA
42952,LGA,Kyrios,22/01/2008,06/02/2006,27,43,2,0,NA,No,No,NA,NA,NA,NA,NA
18314,ATH,Kyrios,05/05/2013,21/05/2011,24,26,34,3,NA,Yes,No,Allocated,NA,10/09/2011,Completed,07/03/2012
5397,IGV,Kyrios,14/02/2013,02/03/2010,47,30,4,1,NA,Yes,No,Allocated,Doro V,01/05/2012,Completed,29/01/2013
12070,LGA,Kyrios,27/03/2010,11/04/2008,38,28,13,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
16730,LGA,Kyrios,28/06/2012,14/07/2009,50,48,47,2,NA,Yes,No,Not allocated,NA,NA,NA,NA
17960,ATH,Kyrios,11/05/2018,26/05/2016,68,65,15,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
20196,LGA,Kyrios,26/07/2012,11/08/2010,36,46,6,3,NA,Yes,No,Not allocated,NA,NA,NA,NA
19418,IGV,Kyrios,02/11/2006,17/11/2004,28,24,49,2,NA,Yes,No,Not allocated,NA,NA,NA,NA
19910,SVA,Kyrios,22/01/2009,07/02/2007,34,35,36,0,NA,No,No,NA,NA,NA,NA,NA
20958,KAB,Kyrios,20/03/2012,05/04/2010,37,50,8,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
30362,LGA,Kyrios,12/09/2011,27/09/2009,20,39,23,0,NA,No,No,NA,NA,NA,NA,NA
41598,IGV,Kyrios,03/03/2009,19/03/2007,68,46,32,2,NA,Yes,No,Allocated,Doro V,18/04/2008,Completed,26/12/2008
10654,ATH,Kyrios,20/06/2012,06/07/2009,39,44,2,3,NA,Yes,No,Not allocated,NA,NA,NA,NA
46568,IGV,Kyrios,10/05/2011,25/05/2008,46,38,23,2,NA,Yes,No,Allocated,Doro V,06/12/2009,Completed,17/09/2010
3820,ATH,Kyrios,28/05/2016,13/06/2013,63,61,36,0,NA,No,No,NA,NA,NA,NA,NA
32644,IGV,Kyrios,04/11/2007,19/11/2005,32,22,15,1,NA,Yes,No,Allocated,Doro V,04/04/2006,Did not complete,NA
5800,SVC,Kyrios,23/03/2007,07/04/2004,8,14,40,2,NA,Yes,No,Not allocated,NA,NA,NA,NA
34406,LGA,Kyrios,30/12/2010,15/01/2008,37,48,34,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
5229,SVC,Kyrios,08/04/2016,24/04/2013,9,16,71,0,NA,No,No,NA,NA,NA,NA,NA
41527,LGA,Kyrios,23/08/2017,08/09/2015,63,46,25,1,NA,Yes,No,Allocated,NA,08/06/2016,Completed,19/12/2016
24063,IGV,Kyrios,05/11/2013,21/11/2010,39,30,20,2,NA,Yes,No,Not allocated,NA,NA,NA,NA
35113,IGV,Kyrios,27/09/2019,12/10/2017,29,35,5,0,NA,No,No,NA,NA,NA,NA,NA
34343,IGV,Kyrios,08/08/2007,23/08/2005,37,42,30,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
5527,LGA,Kyrios,19/02/2017,07/03/2015,46,42,13,0,NA,No,No,NA,NA,NA,NA,NA
18092,LGA,Kyrios,25/03/2010,09/04/2008,47,35,18,1,NA,Yes,No,Allocated,NA,06/07/2008,Completed,13/12/2008
23581,ATH,Kyrios,02/03/2013,18/03/2011,42,46,23,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
8664,IGV,Kyrios,13/06/2012,29/06/2010,22,32,1,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
6738,IGV,Kyrios,17/05/2006,01/06/2004,46,27,28,2,NA,Yes,No,Not allocated,NA,NA,NA,NA
13624,SVA,Kyrios,22/07/2006,06/08/2004,51,35,18,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
45300,ATH,Kyrios,03/03/2014,18/03/2012,18,40,18,2,NA,Yes,No,Allocated,NA,09/06/2012,Did not complete,NA
5760,IGV,Kyrios,23/07/2014,08/08/2011,36,30,27,0,NA,No,No,NA,NA,NA,NA,NA
24937,SVC,Kyrios,27/03/2010,12/04/2007,44,31,70,2,NA,Yes,No,Not allocated,NA,NA,NA,NA
38085,LGA,Kyrios,11/09/2015,26/09/2013,22,39,17,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
1160,IPV,Kyrios,07/06/2019,22/06/2016,40,40,25,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
5157,IGV,Kyrios,27/02/2014,14/03/2012,62,42,12,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
6705,LGA,Kyrios,20/09/2010,05/10/2008,45,38,2,3,NA,Yes,No,Not allocated,NA,NA,NA,NA
44763,SVA,Kyrios,25/02/2009,13/03/2007,25,24,31,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
38266,LGA,Kyrios,15/12/2008,31/12/2005,59,44,23,2,NA,Yes,No,Not allocated,NA,NA,NA,NA
30017,IGV,Kyrios,23/03/2010,07/04/2008,39,48,13,3,NA,Yes,No,Not allocated,NA,NA,NA,NA
25310,IGV,Kyrios,26/01/2011,11/02/2008,39,30,21,2,NA,Yes,No,Not allocated,NA,NA,NA,NA
10271,SVA,Kyrios,16/10/2011,31/10/2009,35,33,65,2,NA,Yes,No,Not allocated,NA,NA,NA,NA
21136,LGA,Kyrios,21/07/2018,05/08/2016,51,52,25,3,NA,Yes,No,Not allocated,NA,NA,NA,NA
11207,IGV,Kyrios,27/08/2014,11/09/2012,43,43,49,0,NA,No,No,NA,NA,NA,NA,NA
45569,LGA,Kyrios,15/03/2014,31/03/2011,52,50,29,0,NA,No,No,NA,NA,NA,NA,NA
16545,IGV,Kyrios,24/01/2011,08/02/2009,52,44,14,0,NA,No,No,NA,NA,NA,NA,NA
22103,IGV,Kyrios,07/07/2008,23/07/2006,33,39,1,3,NA,Yes,No,Allocated,Doro V,03/11/2006,Completed,05/08/2007
3600,LGA,Kyrios,19/12/2007,03/01/2006,35,26,48,1,NA,Yes,No,Allocated,NA,12/06/2006,Completed,09/12/2006
46562,SVC,Kyrios,04/10/2008,20/10/2006,6,11,65,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
41865,LGA,Kyrios,29/11/2010,14/12/2008,37,30,16,2,NA,Yes,No,Allocated,NA,09/01/2009,Completed,12/07/2009
44055,ATH,Kyrios,28/11/2014,14/12/2011,51,30,20,0,NA,No,No,NA,NA,NA,NA,NA
35217,IGV,Kyrios,06/02/2009,22/02/2007,31,16,15,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
31418,IGV,Kyrios,04/10/2009,20/10/2006,51,40,57,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
11418,LGA,Kyrios,10/11/2011,25/11/2009,19,20,47,0,NA,No,No,NA,NA,NA,NA,NA
2555,LGA,Kyrios,29/12/2012,14/01/2011,37,36,26,2,NA,Yes,No,Not allocated,NA,NA,NA,NA
22861,LGA,Kyrios,13/04/2006,28/04/2004,56,53,23,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
26337,ATH,Kyrios,14/09/2020,30/09/2017,45,40,47,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
9595,ATH,Kyrios,27/10/2017,12/11/2015,28,43,17,2,NA,Yes,No,Not allocated,NA,NA,NA,NA
13360,LGA,Kyrios,01/10/2011,16/10/2008,42,38,6,3,NA,Yes,No,Not allocated,NA,NA,NA,NA
7655,SVC,Kyrios,12/11/2007,27/11/2005,32,28,85,1,NA,Yes,No,Allocated,Doro S,01/03/2006,Did not complete,NA
20531,ATH,Kyrios,14/05/2020,30/05/2017,23,40,35,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
26796,IGV,Kyrios,08/05/2011,23/05/2009,7,10,36,0,NA,No,No,NA,NA,NA,NA,NA
36851,LGA,Kyrios,07/08/2011,22/08/2009,51,66,19,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
2946,IPV,Kyrios,27/08/2013,12/09/2011,35,30,18,2,NA,Yes,No,Allocated,Doro DA,10/02/2012,Completed,14/11/2012
32003,SVC,Kyrios,24/05/2007,08/06/2005,26,20,40,4,NA,Yes,No,Not allocated,NA,NA,NA,NA
38219,IGV,Kyrios,30/03/2009,15/04/2006,32,26,5,0,NA,No,No,NA,NA,NA,NA,NA
19515,LGA,Kyrios,02/02/2012,17/02/2010,58,58,38,2,NA,Yes,No,Allocated,NA,19/11/2010,Completed,12/05/2011
33435,LGA,Kyrios,12/06/2010,27/06/2008,68,64,35,0,NA,No,No,NA,NA,NA,NA,NA
45664,LGA,Kyrios,01/04/2007,16/04/2005,34,50,39,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
35331,IGV,Kyrios,16/09/2011,01/10/2008,46,34,20,3,NA,Yes,No,Not allocated,NA,NA,NA,NA
27239,IGV,Kyrios,19/10/2013,04/11/2011,56,44,51,0,NA,No,No,NA,NA,NA,NA,NA
43413,LGA,Kyrios,22/08/2017,07/09/2015,35,35,31,1,NA,Yes,No,Allocated,NA,02/07/2016,Completed,04/01/2017
14544,SVA,Kyrios,01/09/2012,17/09/2010,28,18,52,0,NA,No,No,NA,NA,NA,NA,NA
30704,SVA,Kyrios,16/03/2012,01/04/2009,34,28,58,0,NA,No,No,NA,NA,NA,NA,NA
27446,ATH,Kyrios,30/09/2016,16/10/2014,31,29,40,2,NA,Yes,No,Allocated,NA,16/10/2015,Completed,16/04/2016
2948,LGA,Kyrios,09/12/2019,24/12/2017,23,31,14,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
20447,SVA,Kyrios,05/03/2009,21/03/2006,49,28,55,2,NA,Yes,No,Not allocated,NA,NA,NA,NA
14250,LGA,Kyrios,30/11/2014,16/12/2011,39,34,2,2,NA,Yes,No,Not allocated,NA,NA,NA,NA
31130,IPV,Kyrios,17/12/2007,01/01/2005,19,36,37,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
37798,LGA,Kyrios,21/01/2017,06/02/2015,47,42,11,1,NA,Yes,No,Allocated,NA,12/03/2015,Completed,14/09/2015
32696,LGA,Kyrios,15/02/2019,02/03/2016,35,32,14,1,NA,Yes,No,Allocated,NA,11/02/2018,Completed,12/08/2018
4572,IGV,Kyrios,14/11/2016,30/11/2014,68,66,32,1,NA,Yes,No,Allocated,Doro V,21/05/2015,Completed,03/03/2016
10648,LGA,Kyrios,21/03/2008,06/04/2006,53,63,22,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
24859,SVC,Kyrios,07/08/2012,23/08/2009,16,5,51,0,NA,No,No,NA,NA,NA,NA,NA
23862,IGV,Kyrios,05/05/2012,21/05/2009,31,30,3,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
42063,LGA,Kyrios,29/03/2006,13/04/2004,38,36,23,0,NA,No,No,NA,NA,NA,NA,NA
12359,IGV,Kyrios,18/03/2006,02/04/2004,65,50,69,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
35300,LGA,Kyrios,07/08/2008,23/08/2006,73,65,23,0,NA,No,No,NA,NA,NA,NA,NA
13015,LGA,Kyrios,23/07/2013,08/08/2010,33,30,1,1,NA,Yes,No,Allocated,NA,03/07/2011,Completed,25/12/2011
11430,IPV,Kyrios,22/06/2010,07/07/2008,32,28,32,2,NA,Yes,No,Not allocated,NA,NA,NA,NA
43342,LGA,Kyrios,28/08/2013,13/09/2011,44,27,29,0,NA,No,No,NA,NA,NA,NA,NA
16493,IGV,Kyrios,29/01/2007,14/02/2004,54,52,24,0,NA,No,No,NA,NA,NA,NA,NA
42188,LGA,Kyrios,22/03/2014,06/04/2012,34,28,35,2,NA,Yes,No,Not allocated,NA,NA,NA,NA
39431,LGA,Kyrios,25/10/2018,10/11/2015,56,61,13,0,NA,No,No,NA,NA,NA,NA,NA
23843,LGA,Kyrios,22/06/2008,08/07/2006,25,30,29,2,NA,Yes,No,Not allocated,NA,NA,NA,NA
37765,ATH,Kyrios,31/05/2014,15/06/2012,43,40,29,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
12475,LGA,Kyrios,19/08/2006,03/09/2004,38,40,19,3,NA,Yes,No,Not allocated,NA,NA,NA,NA
45957,SVA,Kyrios,07/08/2019,22/08/2017,35,28,59,0,NA,No,No,NA,NA,NA,NA,NA
10187,LGA,Kyrios,24/12/2010,09/01/2008,62,63,29,2,NA,Yes,No,Not allocated,NA,NA,NA,NA
10769,LGA,Kyrios,27/06/2018,12/07/2016,70,74,39,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
28638,SVC,Kyrios,01/06/2009,17/06/2007,31,24,35,1,NA,Yes,No,Allocated,Doro S,11/05/2008,Completed,03/02/2009
31188,SVC,Kyrios,31/07/2015,15/08/2013,42,29,85,2,NA,Yes,No,Allocated,Doro S,08/10/2013,Completed,25/06/2014
37930,IGV,Kyrios,24/08/2014,09/09/2011,51,48,27,2,NA,Yes,No,Not allocated,NA,NA,NA,NA
4990,IPV,Kyrios,07/09/2011,22/09/2009,71,65,25,3,NA,Yes,No,Not allocated,NA,NA,NA,NA
40742,SVA,Kyrios,29/11/2007,14/12/2005,34,26,71,0,NA,No,No,NA,NA,NA,NA,NA
30554,ATH,Kyrios,15/02/2019,02/03/2017,35,28,10,1,NA,Yes,No,Allocated,NA,01/03/2018,Completed,02/09/2018
15565,LGA,Kyrios,27/06/2006,12/07/2004,38,29,53,2,NA,Yes,No,Allocated,NA,03/07/2005,Completed,28/12/2005
25312,SVA,Kyrios,02/01/2017,18/01/2014,43,28,71,2,NA,Yes,No,Not allocated,NA,NA,NA,NA
91,IPV,Kyrios,21/01/2013,06/02/2010,37,40,29,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
15087,ATH,Kyrios,23/03/2014,07/04/2012,36,35,15,2,NA,Yes,No,Not allocated,NA,NA,NA,NA
20213,IGV,Kyrios,27/01/2007,12/02/2004,49,37,27,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
21569,SVA,Kyrios,05/08/2014,20/08/2012,25,30,16,0,NA,No,No,NA,NA,NA,NA,NA
45981,LGA,Kyrios,23/12/2014,08/01/2012,50,42,9,2,NA,Yes,No,Not allocated,NA,NA,NA,NA
45853,IPV,Kyrios,29/06/2012,15/07/2010,31,42,8,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
28859,IGV,Kyrios,22/10/2017,07/11/2015,30,37,17,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
12729,ATH,Kyrios,01/09/2015,16/09/2013,28,32,11,0,NA,No,No,NA,NA,NA,NA,NA
45355,LGA,Kyrios,30/06/2009,16/07/2006,31,29,6,3,NA,Yes,No,Allocated,NA,03/08/2008,Completed,11/01/2009
5154,IPV,Kyrios,10/06/2015,25/06/2013,59,52,47,1,NA,Yes,No,Allocated,Doro DA,31/08/2014,Completed,03/06/2015
6230,IGV,Kyrios,20/05/2012,05/06/2010,31,30,11,1,NA,Yes,No,Allocated,Doro V,09/08/2010,Did not complete,NA
45503,ATH,Kyrios,03/06/2017,19/06/2015,26,42,24,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
1166,LGA,Kyrios,30/12/2007,14/01/2005,70,55,39,0,NA,No,No,NA,NA,NA,NA,NA
46239,SVA,Kyrios,29/01/2006,14/02/2004,34,30,17,2,NA,Yes,No,Not allocated,NA,NA,NA,NA
11262,LGA,Kyrios,06/11/2013,22/11/2010,49,50,33,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
27013,LGA,Kyrios,13/06/2007,28/06/2005,29,36,8,2,NA,Yes,No,Not allocated,NA,NA,NA,NA
18068,EXT,Kyrios,07/09/2010,23/09/2007,41,40,13,0,NA,No,No,NA,NA,NA,NA,NA
21340,ATH,Kyrios,02/06/2008,18/06/2005,35,29,7,0,NA,No,No,NA,NA,NA,NA,NA
5758,LGA,Kyrios,23/06/2006,08/07/2004,63,52,20,2,NA,Yes,No,Allocated,NA,21/05/2005,Completed,11/11/2005
20230,LGA,Kyrios,22/09/2016,08/10/2014,35,50,26,2,NA,Yes,No,Allocated,NA,21/03/2015,Completed,24/09/2015
9627,IGV,Kyrios,20/12/2013,05/01/2011,50,42,16,0,NA,No,No,NA,NA,NA,NA,NA
13025,LGA,Kyrios,18/09/2012,04/10/2010,63,56,16,2,NA,Yes,No,Allocated,NA,06/01/2011,Completed,28/06/2011
15684,LGA,Kyrios,03/07/2011,18/07/2008,34,43,18,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
45471,LGA,Kyrios,05/04/2007,20/04/2005,26,30,4,1,NA,Yes,No,Allocated,NA,26/10/2005,Completed,17/04/2006
26685,IGV,Kyrios,20/02/2017,08/03/2015,40,38,25,0,NA,No,No,NA,NA,NA,NA,NA
13878,IGV,Kyrios,01/06/2009,17/06/2006,33,41,4,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
34919,IGV,Kyrios,04/10/2019,19/10/2016,39,42,17,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
40854,LGA,Kyrios,01/12/2007,16/12/2004,35,38,32,1,NA,Yes,No,Allocated,NA,26/10/2006,Completed,27/04/2007
8973,LGA,Kyrios,14/08/2012,30/08/2010,34,32,24,0,NA,No,No,NA,NA,NA,NA,NA
36391,ATH,Kyrios,10/04/2012,26/04/2009,51,26,21,2,NA,Yes,No,Not allocated,NA,NA,NA,NA
17478,SVC,Kyrios,27/07/2018,12/08/2015,42,26,46,0,NA,No,No,NA,NA,NA,NA,NA
32851,ATH,Kyrios,01/04/2006,16/04/2004,31,14,24,3,NA,Yes,No,Not allocated,NA,NA,NA,NA
11013,IGV,Kyrios,19/07/2015,03/08/2013,40,46,9,0,NA,No,No,NA,NA,NA,NA,NA
10957,LGA,Kyrios,05/09/2010,21/09/2007,26,34,16,1,NA,Yes,No,Allocated,NA,31/12/2008,Completed,23/06/2009
7379,ATH,Kyrios,19/05/2009,04/06/2007,34,14,15,0,NA,No,No,NA,NA,NA,NA,NA
14780,ATH,Kyrios,12/04/2006,27/04/2004,33,26,12,0,NA,No,No,NA,NA,NA,NA,NA
33278,IGV,Kyrios,11/10/2011,26/10/2009,38,26,51,2,NA,Yes,No,Not allocated,NA,NA,NA,NA
42201,ATH,Kyrios,13/08/2011,28/08/2009,33,18,25,1,NA,Yes,No,Allocated,NA,10/09/2009,Completed,19/03/2010
33306,LGA,Kyrios,11/02/2016,26/02/2013,31,30,3,1,NA,Yes,No,Allocated,NA,31/08/2013,Completed,04/03/2014
28922,LGA,Kyrios,15/11/2019,30/11/2016,35,48,5,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
44643,LGA,Kyrios,17/04/2009,03/05/2006,31,34,39,2,NA,Yes,No,Not allocated,NA,NA,NA,NA
32902,LGA,Kyrios,29/10/2010,13/11/2008,38,44,50,3,NA,Yes,No,Not allocated,NA,NA,NA,NA
16557,LGA,Kyrios,02/11/2010,17/11/2008,39,32,49,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
13032,SVC,Kyrios,05/12/2019,20/12/2017,10,4,61,2,NA,Yes,No,Allocated,Doro S,26/04/2018,Completed,31/01/2019
10715,SVC,Kyrios,19/10/2014,03/11/2012,21,30,84,2,NA,Yes,No,Allocated,Doro S,25/03/2013,Completed,07/01/2014
33593,LGA,Kyrios,01/12/2014,17/12/2011,26,42,13,0,NA,No,No,NA,NA,NA,NA,NA
4389,LGA,Kyrios,20/03/2010,05/04/2007,61,46,55,0,NA,No,No,NA,NA,NA,NA,NA
31327,SVA,Kyrios,06/04/2009,22/04/2006,26,18,43,0,NA,No,No,NA,NA,NA,NA,NA
44598,ATH,Kyrios,06/04/2019,21/04/2016,26,30,10,2,NA,Yes,No,Not allocated,NA,NA,NA,NA
34998,ATH,Kyrios,07/09/2013,23/09/2011,31,36,15,0,NA,No,No,NA,NA,NA,NA,NA
40217,IGV,Kyrios,22/03/2008,07/04/2005,38,50,61,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
28848,IGV,Kyrios,29/06/2015,14/07/2013,18,37,14,0,NA,No,No,NA,NA,NA,NA,NA
62,SVA,Kyrios,07/04/2012,23/04/2010,25,30,60,0,NA,No,No,NA,NA,NA,NA,NA
36472,LGA,Kyrios,26/03/2010,10/04/2008,61,52,12,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
30249,LGA,Kyrios,18/01/2008,02/02/2005,64,38,25,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
9216,EXT,Kyrios,04/12/2010,20/12/2007,50,35,28,0,NA,No,No,NA,NA,NA,NA,NA
35348,IGV,Kyrios,05/11/2014,20/11/2012,35,40,17,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
7114,IGV,Kyrios,25/01/2012,09/02/2009,27,39,2,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
16451,LGA,Kyrios,15/03/2012,31/03/2010,85,72,28,0,NA,No,No,NA,NA,NA,NA,NA
44616,LGA,Kyrios,21/02/2014,08/03/2012,43,42,27,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
31795,LGA,Kyrios,06/06/2012,22/06/2010,39,50,26,1,NA,Yes,No,Allocated,NA,11/07/2010,Completed,21/01/2011
20871,LGA,Kyrios,13/04/2019,28/04/2017,57,54,18,0,NA,No,No,NA,NA,NA,NA,NA
34424,IGV,Kyrios,22/01/2014,07/02/2012,34,42,12,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
33163,IGV,Kyrios,26/01/2015,10/02/2013,31,26,12,1,NA,Yes,No,Allocated,Doro V,29/07/2013,Completed,04/05/2014
39859,IGV,Kyrios,19/04/2007,04/05/2004,62,68,28,1,NA,Yes,No,Allocated,Doro V,03/06/2005,Completed,27/02/2006
46015,IGV,Kyrios,08/11/2013,24/11/2010,29,30,4,0,NA,No,No,NA,NA,NA,NA,NA
12885,IGV,Kyrios,30/08/2017,15/09/2014,34,31,24,4,NA,Yes,No,Not allocated,NA,NA,NA,NA
15446,LGA,Kyrios,15/03/2013,31/03/2010,38,43,22,2,NA,Yes,No,Not allocated,NA,NA,NA,NA
9203,LGA,Kyrios,20/02/2011,07/03/2008,47,46,8,3,NA,Yes,No,Allocated,NA,02/06/2008,Completed,07/12/2008
